timestamp, amount, name
1745643851,897115,tac-period1-9s-fs-eth
1745647451,900220,tac-period1-9s-fs-eth
1745651051,903324,tac-period1-9s-fs-eth
1745654651,906428,tac-period1-9s-fs-eth
1745658251,909532,tac-period1-9s-fs-eth
1745661851,912636,tac-period1-9s-fs-eth
1745665451,915741,tac-period1-9s-fs-eth
1745669051,918845,tac-period1-9s-fs-eth
1745672651,921949,tac-period1-9s-fs-eth
1745676251,925053,tac-period1-9s-fs-eth
1745679851,928157,tac-period1-9s-fs-eth
1745683451,931262,tac-period1-9s-fs-eth
1745687051,934366,tac-period1-9s-fs-eth
1745690651,937470,tac-period1-9s-fs-eth
1745694251,940574,tac-period1-9s-fs-eth
1745697851,943678,tac-period1-9s-fs-eth
1745701451,946783,tac-period1-9s-fs-eth
1745705051,949887,tac-period1-9s-fs-eth
1745708651,952991,tac-period1-9s-fs-eth
1745712251,956095,tac-period1-9s-fs-eth
1745715851,959200,tac-period1-9s-fs-eth
1745719451,962304,tac-period1-9s-fs-eth
1745723051,965408,tac-period1-9s-fs-eth
1745726651,968512,tac-period1-9s-fs-eth
1745730251,971616,tac-period1-9s-fs-eth
1745733851,974721,tac-period1-9s-fs-eth
1745737451,977825,tac-period1-9s-fs-eth
1745741051,980929,tac-period1-9s-fs-eth
1745744651,984033,tac-period1-9s-fs-eth
1745748251,987137,tac-period1-9s-fs-eth
1745751851,990242,tac-period1-9s-fs-eth
1745755451,993346,tac-period1-9s-fs-eth
1745759051,996450,tac-period1-9s-fs-eth
1745762651,999554,tac-period1-9s-fs-eth
1745766251,1002658,tac-period1-9s-fs-eth
1745769851,1005763,tac-period1-9s-fs-eth
1745773451,1008867,tac-period1-9s-fs-eth
1745777051,1011971,tac-period1-9s-fs-eth
1745780651,1015075,tac-period1-9s-fs-eth
1745784251,1018179,tac-period1-9s-fs-eth
1745787851,1021284,tac-period1-9s-fs-eth
1745791451,1024388,tac-period1-9s-fs-eth
1745795051,1027492,tac-period1-9s-fs-eth
1745798651,1030596,tac-period1-9s-fs-eth
1745802251,1033700,tac-period1-9s-fs-eth
1745805851,1036805,tac-period1-9s-fs-eth
1745809451,1039909,tac-period1-9s-fs-eth
1745813051,1043013,tac-period1-9s-fs-eth
1745816651,1046117,tac-period1-9s-fs-eth
1745820251,1049221,tac-period1-9s-fs-eth
1745823851,1052326,tac-period1-9s-fs-eth
1745827451,1055430,tac-period1-9s-fs-eth
1745831051,1058534,tac-period1-9s-fs-eth
1745834651,1061638,tac-period1-9s-fs-eth
1745838251,1064743,tac-period1-9s-fs-eth
1745841851,1067847,tac-period1-9s-fs-eth
1745845451,1070951,tac-period1-9s-fs-eth
1745849051,1074055,tac-period1-9s-fs-eth
1745852651,1077159,tac-period1-9s-fs-eth
1745856251,1080264,tac-period1-9s-fs-eth
1745859851,1083368,tac-period1-9s-fs-eth
1745863451,1086472,tac-period1-9s-fs-eth
1745867051,1089576,tac-period1-9s-fs-eth
1745870651,1092680,tac-period1-9s-fs-eth
1745874251,1095785,tac-period1-9s-fs-eth
1745877851,1098889,tac-period1-9s-fs-eth
1745881451,1101993,tac-period1-9s-fs-eth
1745885051,1105097,tac-period1-9s-fs-eth
1745888651,1108201,tac-period1-9s-fs-eth
1745892251,1111306,tac-period1-9s-fs-eth
1745895851,1114410,tac-period1-9s-fs-eth
1745899451,1117514,tac-period1-9s-fs-eth
1745903051,1120618,tac-period1-9s-fs-eth
1745906651,1123722,tac-period1-9s-fs-eth
1745910251,1126827,tac-period1-9s-fs-eth
1745913851,1129931,tac-period1-9s-fs-eth
1745917451,1133035,tac-period1-9s-fs-eth
1745921051,1136139,tac-period1-9s-fs-eth
1745924651,1139243,tac-period1-9s-fs-eth
1745928251,1142348,tac-period1-9s-fs-eth
1745931851,1145452,tac-period1-9s-fs-eth
1745935451,1148556,tac-period1-9s-fs-eth
