chainId,vault,wallet,expected,actual,diff
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x7df73e27e6df1d34cbdcbc0f31002f83312d4f54,315.028515,286.725518,-28.302997
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x564cc021b1eeeac8ee1534a7c5b3a51cc9439c76,309.905454,279.855383,-30.050071
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x8ec30f0251ee743acdcd1f9bc2dc605b731ba821,324.248245,291.986502,-32.261743
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x5b0493915b7dbbc02dab42d0fdf9cbd4f73857f8,330.246649,292.730672,-37.515976
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xd360ecb91406717ad13c4fae757b69b417e2af6b,522.764802,474.859642,-47.905160
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x037e6e052153c739a60321669cc204aa391a7bc5,538.785907,489.573446,-49.212462
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x7b8cfa6c487faf86c28fcfc39468b870ce08089c,1238.131031,1186.248947,-51.882083
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x85db62fdfa9ee6050f8b422f74d75d2069da102b,1082.245086,1012.464124,-69.780962
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xea2dec40b72604a4f9c6d9fa608b8643accdc25a,1309.007031,1230.078693,-78.928339
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xad3a45b38801a55a9b53d5ec99a829243c5b62da,769.347049,689.803949,-79.543100
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x2f7248a0bd486426b454e3dcb94303b58e84f09e,1830.148954,1749.152147,-80.996807
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x095cbf84f149f12ce5625ea023ad0133cd84a503,765.405609,678.455632,-86.949977
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x46b0b0e9fc24405ed8833cc53324c7fca0100c9c,1080.591173,992.283082,-88.308091
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xe87a10d5b212d169ccbc9a50cf5e23dd3da27cb6,1409.799236,1321.325928,-88.473308
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xb1e64c41038f91057689ba1df1b26aad3ac428dc,2102.846791,1958.915025,-143.931766
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xa99f34e1f1999842bea25542b7a156bd8fe21dd1,1853.172899,1665.146465,-188.026434
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x2d54b97bfd722ce2d665945ac06d29698939c450,2657.831346,2396.467084,-261.364262
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x127a15928df8ef50692660ee52997faf4fdff0d0,5730.987469,5293.235310,-437.752159
